,acronym,wiki_counts,inss_counts,fauda_counts,teheran_counts,total_counts
443,"חרד""לים",7.0,0.0,0.0,0.0,7.0
444,"וש""ס",6.0,2.0,0.0,0.0,8.0
445,"ו""נר",6.0,0.0,0.0,0.0,6.0
446,"תשנ""א",134.0,0.0,0.0,0.0,134.0
447,"השח""ם",14.0,0.0,0.0,0.0,14.0
448,"ורש""י",23.0,0.0,0.0,0.0,23.0
449,"המלבי""ם",46.0,0.0,0.0,0.0,46.0
450,"הרמב""ם",1359.0,0.0,0.0,0.0,1359.0
451,"הרד""ק",46.0,0.0,0.0,0.0,46.0
452,"שהרמב""ם",22.0,0.0,0.0,0.0,22.0
453,"ל""א",62.0,3.0,0.0,0.0,65.0
454,"מהר""ל",30.0,0.0,0.0,0.0,30.0
455,"לגר""א",8.0,0.0,0.0,0.0,8.0
456,"ברמב""ם",31.0,0.0,0.0,0.0,31.0
457,"בחב""ד",27.0,0.0,0.0,0.0,27.0
458,"מכ""מ",1.0,7.0,0.0,0.0,8.0
459,"מל""א",8.0,0.0,0.0,0.0,8.0
